Количтсво кандидатов прошедших в КС;Все;Гражданские;Либералы;Левые;Националисты
0;1562;7538;5915;6925;3615
10;556;1730;0;0;0
20;1973;2147;1348;5134;1376
30;4479;3237;2021;3310;1536
40;6453;4646;5752;7181;4590
50;11620;7733;4324;4357;3043
60;14105;10950;10671;2600;5153
70;11324;11270;2397;1191;1567
80;7707;7813;6328;2841;1810
90;2765;3484;0;0;0
100;3004;4364;9309;7081;11829

;58.0545371081;54.592987819;57.5729394223;46.2154111275;62.252237898
